PCI_Control,PCI_Requirement_Title,SOC2_CC,SOC2_CC_Title,Description,Evidence_Type
9.4.1,Media with cardholder data protected,CC6.5,Logical and Physical Access Controls — Disposal,Physical and electronic media containing CHD secured and tracked,Media inventory + handling log
10.2.1,Audit logs implemented for CDE systems,CC7.2,Systems Operations — Monitoring,Audit logging enabled for all in-scope system components,Log configuration export + sample log files
10.3.1,Audit logs protected from destruction,CC7.2,Systems Operations — Monitoring,Log integrity controls prevent unauthorized modification or deletion,Log forwarding config + SIEM setup evidence
10.4.1,Audit logs reviewed regularly,CC7.2,Systems Operations — Monitoring,Daily log review process with documented escalation path,Log review procedure + review records
10.5.1,Audit log history retained,CC7.2,Systems Operations — Monitoring,Logs retained for at least 12 months; 3 months immediately available,Log retention policy + storage config
11.3.1,Internal vulnerability scans performed,CC7.1,Systems Operations — Vulnerability Management,Quarterly internal vulnerability scans conducted on all in-scope systems,Internal scan results (quarterly)
11.3.2,External vulnerability scans performed by ASV,CC7.1,Systems Operations — Vulnerability Management,Quarterly external scans by an Approved Scanning Vendor (ASV),ASV scan reports (quarterly)
11.4.1,Penetration testing methodology documented,CC7.1,Systems Operations — Vulnerability Management,Annual penetration test covering network and application layers,Pen test report + remediation evidence
11.5.1,Intrusion detection/prevention in place,CC7.2,Systems Operations — Monitoring,IDS/IPS deployed on network perimeter and critical internal segments,IDS/IPS config + alert log sample
12.1.1,Information security policy maintained,CC2.1,Communication and Information — Policies,Comprehensive information security policy reviewed annually,IS policy document + review/approval record
12.3.1,Risk assessment process documented,CC3.1,Risk Assessment,Annual risk assessment process identifying threats to CHD,Risk assessment report
12.5.1,PCI DSS scope documented and validated,CC2.2,Communication and Information — Objectives,Cardholder data environment scoped and validated at least annually,Scope diagram + data flow diagram
12.6.1,Security awareness program in place,CC1.4,Control Environment — Commitment to Competence,Annual security awareness training for all personnel,Training completion records
12.8.1,Third-party service providers managed,CC9.2,Risk Mitigation — Vendor Management,TPSP inventory maintained; compliance status tracked,TPSP list + compliance attestations (AOC)
12.10.1,Incident response plan documented,CC7.3,Systems Operations — Incident Response,Documented IR plan covering detection response containment and recovery,IR plan document + tabletop exercise records
